Corpus,,Main Topic 1,Main Topic 2,,,
News,,mining/environment,stocks and production,,,
,% total News,35%,25%,,,
,Example,lithium china demand supply tonnes project government mining copper production chile companies,tesla model 3 production musk quarter billion shares week analysts per cash,,,
Comments,,car features and comparisons,stocks and production,,,
,% total Comments,50%,25%,,,
,Example,regen bolt driving car 3 tesla youtube never go model â€™ rear control,production tesla numbers model week going 'm 3 curve 2018 get deliveries time,,,
,,,,,,
,,,,,,
Corpus,,Main Topic 3 ,Main Topic 4,,,
News,,self-driving,trade with China,,,
,% total News,20%,15%,,,
,Example,tesla nickel crash autopilot driver system fire police model battery safety may,cars china technology one people industry world business could billion selfdriving first,,,
Comments,,cold-weather range,environment,,,
,% total Comments,20%,5%,,,
,Example,battery tires temperature know range v charging pack car tesla 've front charge,nuclear one waste good new fuel energy years plants us tesla probably fossil,,,
